Name	Version	Architecturet	Description
libapt-inst2.0:amd64	1.6.14	amd64	deb package format runtime library
libapt-pkg5.0:amd64	1.6.14	amd64	package management runtime library
libasan4:amd64	7.5.0-3ubuntu1~18.04	amd64	AddressSanitizer -- a fast memory error detector
libasn1-8-heimdal:amd64	7.5.0+dfsg-1ubuntu0.4	amd64	Heimdal Kerberos - ASN.1 library
libasound2:amd64	1.1.3-5ubuntu0.6	amd64	shared library for ALSA applications
libasound2-data	1.1.3-5ubuntu0.6	all	Configuration files and profiles for ALSA drivers
libassuan0:amd64	2.5.1-2	amd64	IPC library for the GnuPG components
libatk1.0-0:amd64	2.28.1-1	amd64	ATK accessibility toolkit
libatk1.0-data	2.28.1-1	all	Common files for the ATK accessibility toolkit
libatomic1:amd64	8.4.0-1ubuntu1~18.04	amd64	support library providing __atomic built-in functions
libattr1:amd64	1:2.4.47-2build1	amd64	Extended attribute shared library
libaudit-common	1:2.8.2-1ubuntu1.1	all	Dynamic library for security auditing - common files
libaudit1:amd64	1:2.8.2-1ubuntu1.1	amd64	Dynamic library for security auditing
libavahi-client3:amd64	0.7-3.1ubuntu1.3	amd64	Avahi client library
libavahi-common-data:amd64	0.7-3.1ubuntu1.3	amd64	Avahi common data files
libavahi-common3:amd64	0.7-3.1ubuntu1.3	amd64	Avahi common library
libbinutils:amd64	2.30-21ubuntu1~18.04.8	amd64	GNU binary utilities (private shared library)
libbison-dev:amd64	2:3.0.4.dfsg-1build1	amd64	YACC-compatible parser generator - development library
libblkid1:amd64	2.31.1-0.4ubuntu3.7	amd64	block device ID library
libbsd0:amd64	0.8.7-1ubuntu0.1	amd64	utility functions from BSD systems - shared library
